time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity
0.9600000000000005,0.0,0.0,15.3644420599,0.0,0.0,0.0,0.0,0.0,24.5670659324,0.0,0.0,0.0
1.0200000000000005,0.0,0.0,16.8546368109,0.0,0.0,0.0,0.0,0.0,25.0944584788,0.0,0.0,0.0
1.0800000000000005,0.0,0.0,18.3742751105,0.0,0.0,0.0,0.0,0.0,25.5498959048,0.0,0.0,0.0
1.1400000000000006,0.0,0.0,19.9192162576,0.0,0.0,0.0,0.0,0.0,25.9392215656,0.0,0.0,0.0
1.2000000000000006,0.0,0.0,21.4858388919,0.0,0.0,0.0,0.0,0.0,26.2737543343,0.0,0.0,0.0
1.2600000000000007,0.0,0.0,23.0710611502,0.0,0.0,0.0,0.0,0.0,26.5602428278,0.0,0.0,0.0
1.3200000000000007,0.0,0.0,24.672205604,0.0,0.0,0.0,0.0,0.0,26.8054060117,0.0,0.0,0.0
1.3800000000000008,0.0,0.0,26.2869277794,0.0,0.0,0.0,0.0,0.0,27.0136671916,0.0,0.0,0.0
1.4400000000000008,0.0,0.0,27.9131918162,0.0,0.0,0.0,0.0,0.0,27.1908487305,0.0,0.0,0.0
1.5000000000000009,0.0,0.0,29.5492666277,0.0,0.0,0.0,0.0,0.0,27.3413159647,0.0,0.0,0.0
1.560000000000001,0.0,0.0,31.1936753495,0.0,0.0,0.0,0.0,0.0,27.4691791944,0.0,0.0,0.0
1.620000000000001,0.0,0.0,32.8450725585,0.0,0.0,0.0,0.0,0.0,27.5747982296,0.0,0.0,0.0
1.680000000000001,0.0,0.0,34.5022921162,0.0,0.0,0.0,0.0,0.0,27.6636612302,0.0,0.0,0.0
1.740000000000001,0.0,0.0,36.1644505406,0.0,0.0,0.0,0.0,0.0,27.73973672,0.0,0.0,0.0
1.8000000000000012,0.0,0.0,37.8308682507,0.0,0.0,0.0,0.0,0.0,27.8058788653,0.0,0.0,0.0
1.8600000000000012,0.0,0.0,39.5009263746,0.0,0.0,0.0,0.0,0.0,27.861345592,0.0,0.0,0.0
1.9200000000000013,0.0,0.0,41.1740856733,0.0,0.0,0.0,0.0,0.0,27.9094325873,0.0,0.0,0.0
1.9800000000000013,0.0,0.0,42.8499481193,0.0,0.0,0.0,0.0,0.0,27.9515963414,0.0,0.0,0.0
2.0400000000000014,0.0,0.0,44.5281219079,0.0,0.0,0.0,0.0,0.0,27.9866534764,0.0,0.0,0.0
2.1000000000000014,0.0,0.0,46.2082812156,0.0,0.0,0.0,0.0,0.0,28.017875233,0.0,0.0,0.0
2.1600000000000015,0.0,0.0,47.8901936845,0.0,0.0,0.0,0.0,0.0,28.0451892558,0.0,0.0,0.0
2.2200000000000015,0.0,0.0,49.5735240787,0.0,0.0,0.0,0.0,0.0,28.0653189848,0.0,0.0,0.0
2.2800000000000016,0.0,0.0,51.2579416197,0.0,0.0,0.0,0.0,0.0,28.0815256009,0.0,0.0,0.0
2.3400000000000016,0.0,0.0,52.9432941054,0.0,0.0,0.0,0.0,0.0,28.0965141676,0.0,0.0,0.0
2.4000000000000017,0.0,0.0,54.6295238861,0.0,0.0,0.0,0.0,0.0,28.1107865568,0.0,0.0,0.0
2.4600000000000017,0.0,0.0,56.3164115849,0.0,0.0,0.0,0.0,0.0,28.1186068125,0.0,0.0,0.0
2.520000000000002,0.0,0.0,58.0037328395,0.0,0.0,0.0,0.0,0.0,28.125267522,0.0,0.0,0.0
2.580000000000002,0.0,0.0,59.6914137499,0.0,0.0,0.0,0.0,0.0,28.1306280028,0.0,0.0,0.0
2.640000000000002,0.0,0.0,61.3794167467,0.0,0.0,0.0,0.0,0.0,28.1360033337,0.0,0.0,0.0
